Li Junguo, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
Lin Haibin, , Academy for Advanced Interdisciplinary Sciences
Lin Qiu, Assistant Professor, Division of Information Systems & Management Engineering
Robert Sokolovskij, Research Assistant Professor, School of Microelectronics
WU Kailiang, Associate Professor, Mathematics
Yao Li, Assistant Professor, Division of Information Systems & Management Engineering
Yukun Yang, Assistant Professor, Division of Information Systems & Management Engineering
ZOU Guang, Assistant Professor, Ocean Science and Engineering
AN Song, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
ASHERALIEVA  Alia, Assistant Professor, Computer Science and Engineering
Fengwei AN, Associate Professor, School of Microelectronics
Pengcheng An, Assistant Professor, School of Design
BAI Bo, Lecturer of PE, Sports Center
BAI Jiaming, Assistant Professor, Mechanical and Energy Engineering
BAI Ziqian, Assistant Professor, School of System Design and Intelligent Manufacturing
BAO Bin, Research Assistant Professor, Mechanics and Aerospace Engineering
BAO Fangwen, Research Assistant Professor, Ocean Science and Engineering
BAO Xueyang, Assistant Professor, Earth and Space Sciences
BEN Yujie, Research Assistant Professor, College of Engineering
BI Baoyi, Center Director, Art Center
Jingsong Bian, Professor, Department of Pharmacology
Wibo Bakker, Visiting Associate Professor, School of Design
Yekkuni L. BALACHANDRAN, Research Assistant Professor, College of Engineering
(中文) 陈廷勇, Researche, Institute for Quanfum Science and Engineering
CAI Wei, Research Associate Professor, Ocean Science and Engineering
Cai Zhao, Research Assistant Professor, School of Medicine
CAO Huiling, Research Fellow, Department of Biochemistry
CAO Renjing, Professor, Mechanics and Aerospace Engineering
CHANG Xiaoyong, Research Assistant Professor, Chemistry
Chaoyu Chen, Associate Researcher, Institute for Quanfum Science and Engineering
Che Jun, Research Associate Professor, School of Medicine
CHEN Bin, Chair Professor, Earth and Space Sciences
CHEN Fangyi, Associate Professor, College of Engineering
CHEN Fei, Professor, Electrical and Electronic Engineering
CHEN Guoan, Associate Professor, Department of Human Cell Biology and Genetics
CHEN Guoqiang, Research Associate Scientist, Materials Science and Engineering
Chen Hao, Assistant Professor, School of Medicine
CHEN Hong, Associate Professor, Environmental Science and Engineering
CHEN Hua, Research Assistant Professor, Mechanical and Energy Engineering
CHEN Jianfei, Chair professor, Ocean Science and Engineering
CHEN Jinsong, Lecturer, Centre for Humanities
CHEN Kewei, Research Assistant Professor, College of Engineering
CHEN Kun, Associate Professor, Division of Information Systems & Management Engineering
CHEN Lang, Professor, Physics
CHEN Luming, , Department of Finance
CHEN Rouxi, Research Associate Scientist, Materials Science and Engineering
CHEN Rui, Professor, Electrical and Electronic Engineering
Chen Shaoqing, Research Associate Scientist, Materials Science and Engineering
CHEN Shibo, Research Assistant Professor, Mechanical and Energy Engineering
CHEN Shiyi, Chair Professor, Mechanics and Aerospace Engineering
CHEN Shuming, Associate Professor, Electrical and Electronic Engineering
CHEN Songze, , Mechanics and Aerospace Engineering
CHEN Wei, Chair Professor, Biology
CHEN Weiqiang, Associate Professor, Physics
